LoadDate,ScientificName,LibrarySource
2018-03-14 20:44:17,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2015-02-18 06:14:39,Salmonella enterica,GENOMIC
2018-10-04 16:00:12,Salmonella enterica,GENOMIC
2020-03-10 10:56:58,Salmonella enterica,GENOMIC
2018-11-08 15:29:30,Salmonella enterica,GENOMIC
2019-12-27 09:07:37,Salmonella enterica,GENOMIC
2017-02-23 13:06:22,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-07-30 17:39:47,Salmonella enterica,GENOMIC
2015-01-21 09:54:03,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-08-16 12:11:40,Salmonella enterica,GENOMIC
2019-09-03 14:52:37,Salmonella enterica,GENOMIC
2016-11-11 13:53:43,Salmonella enterica,GENOMIC
2017-02-01 10:02:38,Salmonella enterica subsp. enterica serovar Agbeni,GENOMIC
2019-07-26 10:55:28,Salmonella enterica,GENOMIC
2018-10-24 16:58:35,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2020-03-10 15:03:32,Salmonella enterica,GENOMIC
2018-02-07 17:46:20,Salmonella enterica,GENOMIC
2019-06-12 14:35:15,Salmonella enterica,GENOMIC
2019-03-18 08:28:33,Salmonella enterica,GENOMIC
2018-09-30 02:58:28,Salmonella enterica subsp. enterica serovar Dublin,GENOMIC
2018-05-23 13:12:31,Salmonella enterica,GENOMIC
2020-01-14 15:17:29,Salmonella enterica,GENOMIC
2017-08-25 14:49:37,Salmonella enterica,GENOMIC
2018-11-18 16:43:51,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2015-08-28 10:52:20,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2018-03-30 13:33:15,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-03-17 16:09:50,Salmonella enterica,GENOMIC
2018-01-16 13:15:59,Salmonella enterica,GENOMIC
2019-11-15 10:56:01,Salmonella enterica,GENOMIC
2018-11-19 12:01:19,Salmonella enterica,GENOMIC
2020-01-02 18:22:33,Salmonella enterica,GENOMIC
2020-01-31 07:17:03,Salmonella enterica,GENOMIC
2014-08-12 11:37:36,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2020-03-10 14:57:21,Salmonella enterica,GENOMIC
2019-05-22 13:26:04,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2015-04-11 21:30:02,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-11-06 15:47:09,Salmonella enterica,GENOMIC
2017-11-13 15:28:06,Salmonella enterica,GENOMIC
2017-04-29 10:20:06,Salmonella enterica,GENOMIC
2019-11-19 11:47:16,Salmonella enterica,GENOMIC
2018-01-03 16:20:10,Salmonella enterica,GENOMIC
2017-08-01 14:59:03,Salmonella enterica subsp. enterica,GENOMIC
2020-02-14 15:26:06,Salmonella enterica,GENOMIC
2018-06-01 11:23:13,Salmonella enterica,GENOMIC
2018-04-03 11:06:21,Salmonella enterica,GENOMIC
2015-04-09 15:36:12,Salmonella enterica subsp. enterica,GENOMIC
2017-11-13 12:59:40,Salmonella enterica,GENOMIC
2019-09-26 16:57:03,Salmonella enterica subsp. enterica serovar Reading,GENOMIC
2018-07-31 11:58:30,Salmonella enterica,GENOMIC
2016-01-09 03:02:59,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-02-05 12:01:38,Salmonella enterica,GENOMIC
2017-08-30 11:09:34,Salmonella enterica subsp. enterica,GENOMIC
2017-04-05 15:02:33,Salmonella enterica,GENOMIC
2019-01-24 12:36:08,Salmonella enterica,GENOMIC
2017-07-05 15:08:30,Salmonella enterica,GENOMIC
2015-05-21 12:05:47,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-05-01 15:17:14,Salmonella enterica,GENOMIC
2018-07-07 17:33:11,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2016-06-28 14:21:55,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",GENOMIC
2018-09-28 01:14:32,Salmonella enterica,GENOMIC
2020-02-12 10:16:09,Salmonella enterica,GENOMIC
2018-05-15 15:07:03,Salmonella enterica,GENOMIC
2018-10-30 15:53:28,Salmonella enterica,GENOMIC
2019-12-27 09:46:00,Salmonella enterica,GENOMIC
2018-12-25 16:21:42,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2016-07-20 14:49:59,Salmonella enterica subsp. enterica serovar Newport,GENOMIC
2016-11-04 19:21:37,Salmonella enterica,GENOMIC
2019-08-29 16:52:00,Salmonella enterica subsp. enterica,GENOMIC
2019-06-12 14:17:26,Salmonella enterica,GENOMIC
2018-07-12 00:53:27,Salmonella enterica,GENOMIC
2017-09-08 09:16:06,Salmonella enterica,GENOMIC
2020-01-21 12:13:06,Salmonella enterica,GENOMIC
2014-11-10 14:12:00,Salmonella enterica subsp. enterica,GENOMIC
2016-06-14 14:51:32,Salmonella enterica subsp. enterica serovar Schwarzengrund,GENOMIC
2017-07-24 22:31:37,Salmonella enterica subsp. enterica serovar Saintpaul,GENOMIC
2018-08-24 09:16:28,Salmonella enterica,GENOMIC
2015-12-08 19:17:55,Salmonella enterica subsp. enterica serovar Saintpaul,GENOMIC
2015-05-19 10:06:48,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-11-13 18:33:11,Salmonella enterica,GENOMIC
2017-09-27 15:48:25,Salmonella enterica,GENOMIC
2020-01-08 09:27:18,Salmonella enterica,GENOMIC
2018-07-04 16:33:57,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2015-06-23 12:22:09,Salmonella enterica subsp. enterica serovar Heidelberg,GENOMIC
2017-03-27 14:50:54,Salmonella enterica subsp. enterica serovar Mbandaka,GENOMIC
2016-10-31 15:41:17,Salmonella enterica,GENOMIC
2019-06-09 15:46:09,Salmonella enterica subsp. enterica,GENOMIC
2017-11-21 19:09:25,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2018-08-01 13:10:29,Salmonella enterica,GENOMIC
2016-08-05 20:35:31,Salmonella enterica subsp. enterica serovar Typhi str. CT18,GENOMIC
2019-11-13 15:28:53,Salmonella enterica,GENOMIC
2016-07-22 11:36:25,Salmonella enterica subsp. enterica serovar Tennessee,GENOMIC
2019-10-03 16:37:43,Salmonella enterica subsp. enterica serovar Infantis,GENOMIC
2013-03-12 04:30:47,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,GENOMIC
2018-03-26 17:46:57,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-07-25 22:19:27,Salmonella enterica,GENOMIC
2017-03-14 22:47:35,Salmonella enterica,GENOMIC
2017-01-21 15:00:37,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2018-08-09 18:32:59,Salmonella enterica subsp. enterica serovar Infantis,GENOMIC
2014-03-07 16:25:00,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2018-07-12 00:48:22,Salmonella enterica,GENOMIC
2019-11-05 21:21:53,Salmonella enterica,GENOMIC
2019-11-26 09:59:14,Salmonella enterica,GENOMIC
2014-03-20 11:53:28,Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN003481,GENOMIC
2017-03-20 11:52:30,Salmonella enterica subsp. enterica serovar Newport,GENOMIC
2018-07-15 17:32:44,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-12-28 16:33:28,Salmonella enterica subsp. enterica serovar Agona,GENOMIC
2019-11-13 12:27:21,Salmonella enterica,GENOMIC
2017-09-27 12:38:44,Salmonella enterica,GENOMIC
2018-06-25 17:53:06,Salmonella enterica subsp. enterica,GENOMIC
2018-07-05 17:47:35,Salmonella enterica subsp. enterica serovar Bovismorbificans,GENOMIC
2017-10-26 10:56:59,Salmonella enterica,GENOMIC
2019-05-22 02:31:16,Salmonella enterica,GENOMIC
2014-11-26 16:38:09,Salmonella enterica subsp. enterica serovar Agona,GENOMIC
2019-10-18 11:24:21,Salmonella enterica,GENOMIC
2019-10-09 15:16:08,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-04-01 16:29:08,Salmonella enterica subsp. enterica serovar Lubbock,GENOMIC
2018-06-19 12:59:55,Salmonella enterica,GENOMIC
2017-05-22 10:52:45,Salmonella enterica,GENOMIC
2015-08-18 21:28:24,Salmonella enterica,GENOMIC
2019-10-23 19:13:59,Salmonella enterica,GENOMIC
2019-07-02 12:11:16,Salmonella enterica,GENOMIC
2015-12-17 20:08:00,Salmonella enterica subsp. enterica serovar Heidelberg,GENOMIC
2018-03-30 14:43:55,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2014-11-14 09:24:35,Salmonella enterica,GENOMIC
2017-01-21 11:05:17,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-09-09 19:44:54,Salmonella enterica,GENOMIC
2018-03-14 10:04:54,Salmonella enterica,GENOMIC
2019-02-11 09:04:37,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2017-12-19 10:30:19,Salmonella enterica,GENOMIC
2018-08-25 09:05:46,Salmonella enterica,GENOMIC
2015-05-11 10:13:33,Salmonella enterica,GENOMIC
2019-06-27 21:34:38,Salmonella enterica,GENOMIC
2015-07-05 10:53:06,Salmonella enterica subsp. enterica serovar Braenderup,GENOMIC
2018-06-26 16:45:33,Salmonella enterica subsp. enterica,GENOMIC
2018-07-05 17:06:22,Salmonella enterica subsp. enterica serovar Stanley,GENOMIC
2019-05-22 14:42:54,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2016-10-31 16:25:29,Salmonella enterica,GENOMIC
2017-08-16 15:05:19,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-10-08 12:44:21,Salmonella enterica,GENOMIC
2014-08-31 18:02:47,Salmonella enterica,GENOMIC
2017-12-20 11:44:41,Salmonella enterica,GENOMIC
2018-12-13 11:46:49,Salmonella enterica subsp. salamae,GENOMIC
2016-10-19 13:39:14,Salmonella enterica,GENOMIC
2017-12-21 14:31:03,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",GENOMIC
2017-05-22 19:01:33,Salmonella enterica subsp. enterica,GENOMIC
2019-10-18 09:39:39,Salmonella enterica,GENOMIC
2016-02-03 00:47:47,Salmonella enterica,GENOMIC
2017-01-31 15:10:34,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2015-04-08 20:56:42,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-07-02 17:14:13,Salmonella enterica subsp. enterica serovar Braenderup,GENOMIC
2014-03-13 11:55:41,Salmonella enterica subsp. enterica,GENOMIC
2019-11-06 10:48:07,Salmonella enterica,GENOMIC
2013-03-12 03:59:47,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,GENOMIC
2019-11-20 01:54:42,Salmonella enterica,GENOMIC
2014-02-26 17:11:18,Salmonella enterica subsp. enterica,GENOMIC
2018-10-24 16:50:46,Salmonella enterica subsp. enterica serovar Weltevreden,GENOMIC
2019-08-26 15:32:52,Salmonella enterica,GENOMIC
2019-07-29 12:03:10,Salmonella enterica,GENOMIC
2017-05-23 09:38:37,Salmonella enterica,GENOMIC
2015-12-22 18:10:16,Salmonella enterica subsp. enterica,GENOMIC
2018-07-05 17:37:38,Salmonella enterica subsp. enterica serovar Saintpaul,GENOMIC
2016-11-28 12:20:01,Salmonella enterica,GENOMIC
2018-07-03 17:30:10,Salmonella enterica subsp. enterica,GENOMIC
2018-11-08 12:41:26,Salmonella enterica,GENOMIC
2019-06-06 13:07:09,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2018-04-02 13:58:43,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-09-03 16:18:33,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-01-27 16:16:12,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2017-10-19 14:11:44,Salmonella enterica subsp. enterica serovar Infantis,GENOMIC
2019-02-15 16:09:22,Salmonella enterica,GENOMIC
2019-09-03 16:18:26,Salmonella enterica subsp. enterica,GENOMIC
2018-07-03 16:15:57,Salmonella enterica subsp. enterica,GENOMIC
2014-07-30 18:23:21,Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,TRANSCRIPTOMIC
2019-09-10 11:42:09,Salmonella enterica subsp. enterica serovar Braenderup,GENOMIC
2019-06-09 04:15:02,Salmonella enterica subsp. enterica,GENOMIC
2017-01-26 11:20:32,Salmonella enterica subsp. enterica serovar Kentucky,GENOMIC
2018-02-08 21:27:14,Salmonella enterica subsp. enterica serovar Dublin,GENOMIC
2018-07-07 12:01:22,Salmonella enterica subsp. enterica serovar Adelaide,GENOMIC
2020-02-14 15:59:24,Salmonella enterica,GENOMIC
2019-08-06 16:26:14,Salmonella enterica,GENOMIC
2018-11-14 16:27:42,Salmonella enterica,GENOMIC
2018-09-13 19:17:28,Salmonella enterica subsp. enterica serovar Infantis,GENOMIC
2019-03-06 16:27:59,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-10-09 17:24:36,Salmonella enterica,GENOMIC
2019-11-13 18:35:31,Salmonella enterica,GENOMIC
2018-08-09 20:39:58,Salmonella enterica,GENOMIC
2014-09-16 19:00:17,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2018-07-12 14:59:47,Salmonella enterica,GENOMIC
2019-10-08 13:59:50,Salmonella enterica,GENOMIC
2014-12-29 11:06:32,Salmonella enterica,GENOMIC
2016-06-14 22:19:34,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2015-07-10 18:11:39,Salmonella enterica subsp. enterica serovar Heidelberg,GENOMIC
2019-02-06 19:03:30,Salmonella enterica subsp. enterica,GENOMIC
2019-12-11 16:40:28,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2018-02-23 08:26:44,Salmonella enterica,GENOMIC
2020-03-06 16:50:21,Salmonella enterica,GENOMIC
2019-12-11 16:44:08,Salmonella enterica,GENOMIC
2018-06-28 17:28:17,Salmonella enterica subsp. enterica,GENOMIC
2018-08-06 12:40:02,Salmonella enterica,GENOMIC
2018-07-12 17:13:55,Salmonella enterica subsp. enterica serovar Arechavaleta,GENOMIC
2014-09-19 16:41:48,Salmonella enterica,GENOMIC
2018-11-14 16:42:06,Salmonella enterica,GENOMIC
2018-03-31 09:02:55,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2017-09-07 12:37:01,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2017-05-22 12:14:56,Salmonella enterica,GENOMIC
2014-03-07 15:56:19,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2018-07-28 14:33:35,Salmonella enterica subsp. enterica serovar Derby,GENOMIC
2015-09-22 15:43:37,Salmonella enterica subsp. enterica serovar Kentucky,GENOMIC
2018-02-07 17:45:43,Salmonella enterica,GENOMIC
2020-03-06 15:34:18,Salmonella enterica,GENOMIC
2017-10-05 06:54:39,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-09-23 11:02:40,Salmonella enterica,GENOMIC
2018-04-30 20:36:31,Salmonella enterica,GENOMIC
2020-03-09 13:55:56,Salmonella enterica,GENOMIC
2019-03-19 11:28:31,Salmonella enterica,GENOMIC
2019-07-02 07:42:24,Salmonella enterica subsp. enterica serovar Derby,GENOMIC
2019-03-02 18:09:12,Salmonella enterica subsp. enterica,GENOMIC
2019-06-14 14:22:03,Salmonella enterica,GENOMIC
2020-01-17 18:33:46,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2019-04-05 21:50:12,Salmonella enterica subsp. enterica serovar Florida,GENOMIC
2018-12-11 17:20:04,Salmonella enterica,GENOMIC
2020-01-14 13:20:52,Salmonella enterica,GENOMIC
2018-07-09 13:30:05,Salmonella enterica subsp. enterica,GENOMIC
2018-10-19 09:02:14,Salmonella enterica,GENOMIC
2019-02-01 11:43:47,Salmonella enterica subsp. enterica serovar Heidelberg,GENOMIC
2015-04-11 02:16:03,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-05-09 15:56:02,Salmonella enterica,GENOMIC
2019-09-10 15:48:50,Salmonella enterica,GENOMIC
2019-08-28 17:27:03,Salmonella enterica,GENOMIC
2017-01-31 14:48:14,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2016-12-07 11:19:27,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-06-12 14:32:25,Salmonella enterica subsp. enterica,GENOMIC
2017-12-15 05:28:57,Salmonella enterica,GENOMIC
2016-03-06 00:04:38,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2017-05-22 18:16:24,Salmonella enterica,GENOMIC
2018-06-27 17:52:03,Salmonella enterica subsp. enterica,GENOMIC
2013-11-19 19:03:01,Salmonella enterica,GENOMIC
2019-09-30 16:16:04,Salmonella enterica,GENOMIC
2019-03-02 17:54:16,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-10-07 19:31:51,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2014-06-26 05:24:12,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,GENOMIC
2019-08-26 11:54:40,Salmonella enterica,GENOMIC
2018-07-23 11:33:02,Salmonella enterica,GENOMIC
2019-10-23 19:18:09,Salmonella enterica,GENOMIC
2018-01-29 10:39:41,Salmonella enterica subsp. enterica,GENOMIC
2017-04-11 10:49:01,Salmonella enterica,GENOMIC
2019-02-20 14:00:24,Salmonella enterica,GENOMIC
2019-03-27 13:15:05,Salmonella enterica,GENOMIC
2015-04-11 08:36:17,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2020-03-09 17:20:20,Salmonella enterica,GENOMIC
2015-01-17 09:11:59,Salmonella enterica,GENOMIC
2014-03-21 13:17:22,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-04-12 10:30:32,Salmonella enterica,GENOMIC
2018-03-23 12:32:18,Salmonella enterica subsp. enterica serovar Braenderup,GENOMIC
2017-11-14 18:07:08,Salmonella enterica,GENOMIC
2017-11-16 14:42:36,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2018-06-27 12:58:04,Salmonella enterica,GENOMIC
2017-09-19 15:29:48,Salmonella enterica,GENOMIC
2019-09-19 08:18:36,Salmonella enterica,GENOMIC
2019-02-10 17:52:37,Salmonella enterica subsp. enterica serovar Choleraesuis,GENOMIC
2019-12-19 20:17:07,Salmonella enterica,GENOMIC
2019-08-16 19:46:25,Salmonella enterica,GENOMIC
2018-05-21 16:48:08,Salmonella enterica subsp. enterica,GENOMIC
2018-06-27 12:49:46,Salmonella enterica,GENOMIC
2017-06-21 13:48:53,Salmonella enterica,GENOMIC
2019-11-22 08:51:07,Salmonella enterica,GENOMIC
2019-08-10 03:01:04,Salmonella enterica,GENOMIC
2020-03-09 12:55:34,Salmonella enterica,GENOMIC
2018-07-18 18:39:20,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-11-12 14:31:26,Salmonella enterica,GENOMIC
2019-09-17 00:29:19,Salmonella enterica subsp. enterica,GENOMIC
2018-08-23 10:42:41,Salmonella enterica,GENOMIC
2020-01-08 12:08:04,Salmonella enterica,GENOMIC
2013-03-05 10:56:11,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-07-12 08:23:56,Salmonella enterica,GENOMIC
2017-08-29 13:51:10,Salmonella enterica,GENOMIC
2017-01-12 15:56:36,Salmonella enterica,GENOMIC
2017-11-02 16:33:41,Salmonella enterica subsp. enterica serovar Infantis,GENOMIC
2017-03-27 15:05:13,Salmonella enterica,GENOMIC
2017-10-10 16:27:35,Salmonella enterica subsp. enterica serovar Hartford,GENOMIC
2018-03-27 11:07:55,Salmonella enterica,GENOMIC
2017-05-31 14:18:37,Salmonella enterica subsp. enterica,GENOMIC
2017-08-11 14:28:15,Salmonella enterica subsp. enterica,GENOMIC
2019-09-14 16:16:24,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2018-10-22 10:59:28,Salmonella enterica subsp. enterica,GENOMIC
2016-02-05 14:37:44,Salmonella enterica,GENOMIC
2016-12-12 11:40:25,Salmonella enterica,GENOMIC
2018-08-08 15:34:18,Salmonella enterica,GENOMIC
2019-11-16 17:02:36,Salmonella enterica subsp. enterica serovar Mikawasima,GENOMIC
2018-04-05 04:31:02,Salmonella enterica subsp. enterica serovar Typhimurium,TRANSCRIPTOMIC
2020-03-09 12:39:39,Salmonella enterica,GENOMIC
2017-09-27 16:26:57,Salmonella enterica,GENOMIC
2019-10-09 21:09:51,Salmonella enterica subsp. enterica serovar Agona,GENOMIC
2018-07-05 16:21:18,Salmonella enterica,GENOMIC
2015-04-11 00:09:02,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-08-28 15:48:23,Salmonella enterica,GENOMIC
2018-02-28 09:26:19,Salmonella enterica,GENOMIC
2017-06-21 13:42:08,Salmonella enterica subsp. enterica serovar Newport,GENOMIC
2015-02-18 07:12:48,Salmonella enterica,GENOMIC
2020-01-16 08:01:39,Salmonella enterica,GENOMIC
2019-11-06 15:59:25,Salmonella enterica,GENOMIC
2018-10-23 18:02:21,Salmonella enterica subsp. enterica serovar Kentucky,GENOMIC
2019-02-28 17:47:19,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2019-12-18 12:14:24,Salmonella enterica,GENOMIC
2015-06-22 10:28:39,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2020-01-16 13:00:14,Salmonella enterica,GENOMIC
2019-04-12 10:12:27,Salmonella enterica,GENOMIC
2018-04-06 07:14:34,Salmonella enterica subsp. enterica serovar Dublin,GENOMIC
2018-05-01 19:25:34,Salmonella enterica subsp. enterica serovar Java,GENOMIC
2017-07-08 10:22:08,Salmonella enterica subsp. enterica,GENOMIC
2017-04-04 14:04:41,Salmonella enterica subsp. enterica serovar Infantis,GENOMIC
2018-11-15 03:41:42,Salmonella enterica,GENOMIC
2014-11-10 14:34:20,Salmonella enterica subsp. enterica,GENOMIC
2015-04-11 07:49:17,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2018-07-24 14:12:31,Salmonella enterica,GENOMIC
2015-12-21 17:00:22,Salmonella enterica,GENOMIC
2019-11-06 03:04:48,Salmonella enterica,GENOMIC
2019-07-02 12:11:27,Salmonella enterica,GENOMIC
2018-09-22 17:05:59,Salmonella enterica subsp. enterica,GENOMIC
2018-04-03 16:43:27,Salmonella enterica subsp. enterica serovar Heidelberg,GENOMIC
2018-08-03 15:46:49,Salmonella enterica,GENOMIC
2017-03-29 17:34:11,Salmonella enterica,GENOMIC
2019-06-13 12:27:46,Salmonella enterica,GENOMIC
2018-08-27 13:42:37,Salmonella enterica,GENOMIC
2018-10-10 18:03:44,Salmonella enterica subsp. enterica,GENOMIC
2019-01-23 12:31:36,Salmonella enterica,GENOMIC
2018-09-26 16:48:03,Salmonella enterica,GENOMIC
2019-10-28 21:38:47,Salmonella enterica,GENOMIC
2019-09-19 08:19:52,Salmonella enterica,GENOMIC
2018-11-15 13:34:52,Salmonella enterica,GENOMIC
2016-11-17 17:09:22,Salmonella enterica subsp. enterica serovar Schwarzengrund,GENOMIC
2018-07-09 03:57:28,Salmonella enterica subsp. enterica serovar Typhimurium,GENOMIC
2018-11-02 15:00:58,Salmonella enterica,GENOMIC
2018-10-26 20:14:45,Salmonella enterica subsp. enterica serovar Typhi,GENOMIC
2016-04-01 15:07:42,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2018-06-28 16:26:21,Salmonella enterica subsp. enterica,GENOMIC
2017-07-19 19:04:30,Salmonella enterica,GENOMIC
2019-04-02 17:02:24,Salmonella enterica subsp. enterica serovar Thompson,GENOMIC
2019-02-12 14:28:30,Salmonella enterica,GENOMIC
2015-04-11 10:28:11,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2015-11-18 18:32:14,Salmonella enterica,GENOMIC
2019-07-23 15:27:54,Salmonella enterica,GENOMIC
2014-09-28 10:12:59,Salmonella enterica subsp. enterica serovar Paratyphi B,GENOMIC
2018-08-29 14:35:33,Salmonella enterica,GENOMIC
2020-02-03 19:00:28,Salmonella enterica,GENOMIC
2018-10-19 16:21:37,Salmonella enterica subsp. enterica serovar Oranienburg,GENOMIC
2015-04-11 01:53:05,Salmonella enterica subsp. enterica serovar Enteritidis,GENOMIC
2019-01-28 16:59:03,Salmonella enterica subsp. enterica serovar Essen,GENOMIC
2018-09-19 17:19:12,Salmonella enterica subsp. enterica serovar Carno,GENOMIC
2014-04-28 17:39:42,Salmonella enterica,GENOMIC
2019-05-22 18:23:01,Salmonella enterica,GENOMIC
2018-01-29 10:45:18,Salmonella enterica subsp. enterica,GENOMIC
